City Name,News_Source,Country,Coordinates
Florida,AA,"Florida, United States","(27.7567667, -81.4639835)"
Michigan,AA,"Michigan, United States","(43.6211955, -84.6824346)"
Iowa,AA,"Iowa, United States","(41.9216734, -93.3122705)"
Colorado,AA,"Colorado, United States","(38.7251776, -105.607716)"
Elizabeth,AA,"Elizabeth, Union County, New Jersey, United States","(40.6639916, -74.2107006)"
Kansas,AA,"Kansas, United States","(38.27312, -98.5821872)"
Sens,AA,"Sens, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89100, France","(48.1978559, 3.282606)"
Montana,AA,"Montana, United States","(47.3752671, -109.638757)"
Columbia,AA,Colombia,"(4.099917, -72.9088133)"
Texas,AA,"Texas, United States","(31.2638905, -98.5456116)"
Wyoming,AA,"Wyoming, United States","(43.1700264, -107.568534)"
Chicago,AA,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
Missouri,AA,"Missouri, United States","(38.7604815, -92.5617875)"
Washington,AA,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
Oregon,AA,"Oregon, United States","(43.9792797, -120.737257)"
New York,AA,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Delaware,AA,"Delaware, United States","(38.6920451, -75.4013315)"
Virginia,AA,"Virginia, United States","(37.1232245, -78.4927721)"
Oklahoma,AA,"Oklahoma, United States","(34.9550817, -97.2684063)"
Maryland,AA,"Maryland, United States","(39.5162401, -76.9382069)"
Florida,AA,"Florida, United States","(27.7567667, -81.4639835)"
Michigan,AA,"Michigan, United States","(43.6211955, -84.6824346)"
Rochester,AA,"City of Rochester, Monroe County, New York, United States","(43.157285, -77.615214)"
Iowa,AA,"Iowa, United States","(41.9216734, -93.3122705)"
Colorado,AA,"Colorado, United States","(38.7251776, -105.607716)"
Elizabeth,AA,"Elizabeth, Union County, New Jersey, United States","(40.6639916, -74.2107006)"
Kansas,AA,"Kansas, United States","(38.27312, -98.5821872)"
Sens,AA,"Sens, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89100, France","(48.1978559, 3.282606)"
Montana,AA,"Montana, United States","(47.3752671, -109.638757)"
Columbia,AA,Colombia,"(4.099917, -72.9088133)"
Texas,AA,"Texas, United States","(31.2638905, -98.5456116)"
Wyoming,AA,"Wyoming, United States","(43.1700264, -107.568534)"
Buenos Aires,AA,"Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina","(-34.6075682, -58.4370894)"
Chicago,AA,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
Missouri,AA,"Missouri, United States","(38.7604815, -92.5617875)"
Washington,AA,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
Varna,AA,"Варна, България","(43.2073873, 27.9166653)"
Oregon,AA,"Oregon, United States","(43.9792797, -120.737257)"
Athens,AA,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 104 31, Ελλάς","(37.9839412, 23.7283052)"
New York,AA,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Delaware,AA,"Delaware, United States","(38.6920451, -75.4013315)"
Virginia,AA,"Virginia, United States","(37.1232245, -78.4927721)"
Oklahoma,AA,"Oklahoma, United States","(34.9550817, -97.2684063)"
São Paulo,AA,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil","(-23.5506507, -46.6333824)"
Maryland,AA,"Maryland, United States","(39.5162401, -76.9382069)"
Florida,AA,"Florida, United States","(27.7567667, -81.4639835)"
Sydney,AA,"Sydney, Council of the City of Sydney, New South Wales, Australia","(-33.8698439, 151.2082848)"
Michigan,AA,"Michigan, United States","(43.6211955, -84.6824346)"
Iowa,AA,"Iowa, United States","(41.9216734, -93.3122705)"
Colorado,AA,"Colorado, United States","(38.7251776, -105.607716)"
Elizabeth,AA,"Elizabeth, Union County, New Jersey, United States","(40.6639916, -74.2107006)"
Kansas,AA,"Kansas, United States","(38.27312, -98.5821872)"
Montana,AA,"Montana, United States","(47.3752671, -109.638757)"
Mexico City,AA,"Ciudad de México, México","(19.4326296, -99.1331785)"
Columbia,AA,Colombia,"(4.099917, -72.9088133)"
Wake Forest,AA,"Wake Forest, Wake County, North Carolina, 27588, United States","(35.9803138, -78.5103731)"
Texas,AA,"Texas, United States","(31.2638905, -98.5456116)"
Wyoming,AA,"Wyoming, United States","(43.1700264, -107.568534)"
Chicago,AA,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
Missouri,AA,"Missouri, United States","(38.7604815, -92.5617875)"
Washington,AA,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
Oregon,AA,"Oregon, United States","(43.9792797, -120.737257)"
Menlo Park,AA,"Menlo Park, San Mateo County, California, 94025, United States","(37.4519671, -122.177992)"
New York,AA,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Delaware,AA,"Delaware, United States","(38.6920451, -75.4013315)"
Virginia,AA,"Virginia, United States","(37.1232245, -78.4927721)"
Oklahoma,AA,"Oklahoma, United States","(34.9550817, -97.2684063)"
Maryland,AA,"Maryland, United States","(39.5162401, -76.9382069)"
Florida,AA,"Florida, United States","(27.7567667, -81.4639835)"
Michigan,AA,"Michigan, United States","(43.6211955, -84.6824346)"
Iowa,AA,"Iowa, United States","(41.9216734, -93.3122705)"
Colorado,AA,"Colorado, United States","(38.7251776, -105.607716)"
Country Club,AA,"Country Club, Miramar, Miami-Dade County, Florida, 33015, United States","(25.94096615, -80.30999085833386)"
Elizabeth,AA,"Elizabeth, Union County, New Jersey, United States","(40.6639916, -74.2107006)"
Kansas,AA,"Kansas, United States","(38.27312, -98.5821872)"
Montana,AA,"Montana, United States","(47.3752671, -109.638757)"
Columbia,AA,Colombia,"(4.099917, -72.9088133)"
Texas,AA,"Texas, United States","(31.2638905, -98.5456116)"
Wyoming,AA,"Wyoming, United States","(43.1700264, -107.568534)"
Chicago,AA,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
Missouri,AA,"Missouri, United States","(38.7604815, -92.5617875)"
Washington,AA,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
Houston,AA,"Houston, Harris County, Texas, United States","(29.7589382, -95.3676974)"
Oregon,AA,"Oregon, United States","(43.9792797, -120.737257)"
University,AA,"大學 University, 澤祥街 Chak Cheung Street, 馬料水 Ma Liu Shui, 九肚 Kau To, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国","(22.4135688, 114.2101033)"
New York,AA,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Delaware,AA,"Delaware, United States","(38.6920451, -75.4013315)"
Virginia,AA,"Virginia, United States","(37.1232245, -78.4927721)"
Oklahoma,AA,"Oklahoma, United States","(34.9550817, -97.2684063)"
Maryland,AA,"Maryland, United States","(39.5162401, -76.9382069)"
Florida,AA,"Florida, United States","(27.7567667, -81.4639835)"
Michigan,AA,"Michigan, United States","(43.6211955, -84.6824346)"
Los Angeles,AA,"Los Angeles, Los Angeles County, California, United States","(34.0536909, -118.242766)"
Iowa,AA,"Iowa, United States","(41.9216734, -93.3122705)"
Colorado,AA,"Colorado, United States","(38.7251776, -105.607716)"
Elizabeth,AA,"Elizabeth, Union County, New Jersey, United States","(40.6639916, -74.2107006)"
Kansas,AA,"Kansas, United States","(38.27312, -98.5821872)"
Montana,AA,"Montana, United States","(47.3752671, -109.638757)"
Columbia,AA,Colombia,"(4.099917, -72.9088133)"
Ramon,AA,"Ramon, Isabela, Cagayan Valley, 3319, Philippines","(16.7815027, 121.5351148)"
Bristol,bbc,"Bristol, City of Bristol, West of England, England, United Kingdom","(51.4538022, -2.5972985)"
University,bbc,"大學 University, 澤祥街 Chak Cheung Street, 馬料水 Ma Liu Shui, 九肚 Kau To, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国","(22.4135688, 114.2101033)"
Young,bbc,"Young County, United States","(33.1508315, -98.6962766)"
Merthyr Tydfil,bbc,"Merthyr Tydfil, Cymru / Wales, CF47 8BS, United Kingdom","(51.7455659, -3.3786082)"
Chesterfield,bbc,"Chesterfield, Saint Louis County, Missouri, United States","(38.661953, -90.5643258)"
Belper,bbc,"Belper CP, Amber Valley, Derbyshire, England, United Kingdom","(53.0229029, -1.4817414)"
Suffolk,bbc,"Suffolk, England, United Kingdom","(52.241001350000005, 1.0466830312565236)"
Ipswich,bbc,"Ipswich, Suffolk, England, United Kingdom","(52.0579495, 1.1526345)"
Cooper,bbc,"Cooper County, Missouri, United States","(38.8452595, -92.8249579)"
Macclesfield,bbc,"Macclesfield, Cheshire East, England, United Kingdom","(53.2606635, -2.1255158)"
Cheshire,bbc,"Cheshire, England, United Kingdom","(53.2141028, -2.471770086071205)"
Dundee,bbc,"Dundee, Dundee City, Alba / Scotland, DD1 1SG, United Kingdom","(56.4605938, -2.97019)"
Swindon,bbc,"Swindon, England, SN1 1LF, United Kingdom","(51.5613683, -1.7856853)"
Essex,bbc,"Essex, England, United Kingdom","(51.77046785, 0.46466977412300386)"
University,bbc,"大學 University, 澤祥街 Chak Cheung Street, 馬料水 Ma Liu Shui, 九肚 Kau To, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国","(22.4135688, 114.2101033)"
Weston,bbc,"Weston-super-Mare, North Somerset, England, United Kingdom","(51.3471927, -2.9778916)"
London,bbc,"London, Greater London, England, United Kingdom","(51.5073359, -0.12765)"
Harlow,bbc,"Harlow, Essex, England, United Kingdom","(51.7676194, 0.0974893)"
Florida,Mayo,"Florida, United States","(27.7567667, -81.4639835)"
Most,Mayo,"Most, okres Most, Ústecký kraj, Severozápad, Česko","(50.5032737, 13.636112)"
March,Mayo,"March, GVV March-Umkirch, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79232, Deutschland","(48.0578573, 7.7790038)"
Christchurch,Mayo,"Christchurch, Christchurch City, Canterbury, New Zealand/Aotearoa","(-43.530955, 172.6366455)"
Florida,Mayo,"Florida, United States","(27.7567667, -81.4639835)"
Florida,Mayo,"Florida, United States","(27.7567667, -81.4639835)"
Federal,NIA,"Federal, Byron Shire Council, New South Wales, 2480, Australia","(-28.6515347, 153.4557876)"
March,NIA,"March, GVV March-Umkirch, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79232, Deutschland","(48.0578573, 7.7790038)"
University,NIA,"大學 University, 澤祥街 Chak Cheung Street, 馬料水 Ma Liu Shui, 九肚 Kau To, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国","(22.4135688, 114.2101033)"
Durham,NIA,"Durham, Durham County, North Carolina, United States","(35.996653, -78.9018053)"
Winston-Salem,NIA,"Winston-Salem, Forsyth County, North Carolina, United States","(36.0998131, -80.2440518)"
Wake Forest,NIA,"Wake Forest, Wake County, North Carolina, 27588, United States","(35.9803138, -78.5103731)"
Philadelphia,NIA,"Philadelphia, Philadelphia County, Pennsylvania, United States","(39.9527237, -75.1635262)"
Federal,NIA,"Federal, Byron Shire Council, New South Wales, 2480, Australia","(-28.6515347, 153.4557876)"
University,NIA,"大學 University, 澤祥街 Chak Cheung Street, 馬料水 Ma Liu Shui, 九肚 Kau To, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国","(22.4135688, 114.2101033)"
Federal,NIA,"Federal, Byron Shire Council, New South Wales, 2480, Australia","(-28.6515347, 153.4557876)"
Federal,NIA,"Federal, Byron Shire Council, New South Wales, 2480, Australia","(-28.6515347, 153.4557876)"
Florida,NIA,"Florida, United States","(27.7567667, -81.4639835)"
Jacksonville,NIA,"Jacksonville, Duval County, Florida, United States","(30.3321838, -81.655651)"
Federal,NIA,"Federal, Byron Shire Council, New South Wales, 2480, Australia","(-28.6515347, 153.4557876)"
University,NIA,"大學 University, 澤祥街 Chak Cheung Street, 馬料水 Ma Liu Shui, 九肚 Kau To, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国","(22.4135688, 114.2101033)"
San Francisco,NIA,"San Francisco, California, United States","(37.7790262, -122.419906)"
New York,NIA,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Chapel Hill,NIA,"Chapel Hill, Orange County, North Carolina, United States","(35.9131542, -79.05578)"
Texas,NIA,"Texas, United States","(31.2638905, -98.5456116)"
Carolina,NIA,"University of North Carolina, Adams Way, High Park, Chapel Hill, Orange County, North Carolina, 27516, United States","(35.90503535, -79.04775326525107)"
San Antonio,NIA,"San Antonio, Bexar County, Texas, United States","(29.4246002, -98.4951405)"
Federal,NIA,"Federal, Byron Shire Council, New South Wales, 2480, Australia","(-28.6515347, 153.4557876)"
University,NIA,"大學 University, 澤祥街 Chak Cheung Street, 馬料水 Ma Liu Shui, 九肚 Kau To, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国","(22.4135688, 114.2101033)"
Federal,NIA,"Federal, Byron Shire Council, New South Wales, 2480, Australia","(-28.6515347, 153.4557876)"
Federal,NIA,"Federal, Byron Shire Council, New South Wales, 2480, Australia","(-28.6515347, 153.4557876)"
Chapel Hill,NIA,"Chapel Hill, Orange County, North Carolina, United States","(35.9131542, -79.05578)"
Federal,NIA,"Federal, Byron Shire Council, New South Wales, 2480, Australia","(-28.6515347, 153.4557876)"
University,NIA,"大學 University, 澤祥街 Chak Cheung Street, 馬料水 Ma Liu Shui, 九肚 Kau To, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国","(22.4135688, 114.2101033)"
Philadelphia,NIA,"Philadelphia, Philadelphia County, Pennsylvania, United States","(39.9527237, -75.1635262)"
Federal,NIA,"Federal, Byron Shire Council, New South Wales, 2480, Australia","(-28.6515347, 153.4557876)"
Oklahoma City,NIA,"Oklahoma City, Oklahoma County, Oklahoma, United States","(35.4729886, -97.5170536)"
University,NIA,"大學 University, 澤祥街 Chak Cheung Street, 馬料水 Ma Liu Shui, 九肚 Kau To, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国","(22.4135688, 114.2101033)"
